"9830107B12Rik"	"GO:0003674;GO:0005575;GO:0008150"
"9930012K11Rik"	"GO:0003674;GO:0008150"
"9930021J03Rik"	"GO:0003674;GO:0005575;GO:0008150"
"9930111J21Rik1"	"GO:0003924;GO:0005789;GO:0006952;GO:0035458"
"9930111J21Rik2"	"GO:0003674;GO:0005575;GO:0008150"
"a"	"GO:0005515;GO:0006091;GO:0008343;GO:0031779;GO:0031781;GO:0031782;GO:0032402;GO:0032438;GO:0040030;GO:0042438;GO:0043473;GO:0048023;GO:0071514"
"A130010J15Rik"	"GO:0003674;GO:0005575;GO:0008150"
"A130051J06Rik"	"GO:0003674;GO:0005575;GO:0008150"
"A230050P20Rik"	"GO:0003723;GO:0005634;GO:0005737;GO:0034340;GO:0034341;GO:0034342;GO:0045071;GO:0051607"
"A230065H16Rik"	"GO:0003674;GO:0005575;GO:0008150"
"A2m"	"GO:0001869;GO:0002020;GO:0004866;GO:0004867;GO:0005102;GO:0005515;GO:0005576;GO:0005615;GO:0007565;GO:0010466;GO:0019838;GO:0019899;GO:0019959;GO:0019966;GO:0030414;GO:0042803;GO:0043120;GO:0048306;GO:0048403;GO:0048406;GO:0048863;GO:0070062;GO:0072562"
"A330017A19Rik"	"GO:0003674;GO:0005575;GO:0008150"
"A330070K13Rik"	"GO:0003674;GO:0005575;GO:0008150"
"A3galt2"	"GO:0001962;GO:0005794;GO:0005975;GO:0006688;GO:0016020;GO:0016021;GO:0016740;GO:0016757;GO:0016758;GO:0030259;GO:0031982;GO:0046872;GO:0047276"
"A430005L14Rik"	"GO:0003674;GO:0005634;GO:0008150"
"A430033K04Rik"	"GO:0003674;GO:0005634;GO:0045892"
