"gene","lfc","padj","tissue","comparison"
"Bysl",1.96981023691895,0.0365889832941359,"DG","home.cage-standard.yoked"
"C1qtnf4",1.1319055118789,0.0646677767209854,"DG","home.cage-standard.yoked"
"C2cd2l",1.02738101678872,0.0394300897146945,"DG","home.cage-standard.yoked"
"C2cd4a",2.70540541487176,0.032156617865015,"DG","home.cage-standard.yoked"
"C2cd4b",1.63997702216988,0.0944207468695369,"DG","home.cage-standard.yoked"
"C5ar2",3.7296344240139,0.0243342878671438,"DG","home.cage-standard.yoked"
"Cabp1",1.72118838761642,0.0211650493490959,"DG","home.cage-standard.yoked"
"Cacna1a",1.71963757927696,0.0033115809800997,"DG","home.cage-standard.yoked"
"Cacna1i",2.67590075763933,0.00244367617264616,"DG","home.cage-standard.yoked"
"Cacna2d3",-2.04811748493601,0.0137004616858716,"DG","home.cage-standard.yoked"
"Cacnb1",-1.25633453196735,0.089615159777152,"DG","home.cage-standard.yoked"
"Cacng2",1.52986376027483,0.0672333289957777,"DG","home.cage-standard.yoked"
"Cacng8",-0.985806077834577,0.0337800058382959,"DG","home.cage-standard.yoked"
"Cacybp",2.83010777077615,0.000712076392006853,"DG","home.cage-standard.yoked"
"Calu",-1.34506248743385,0.0761262363738525,"DG","home.cage-standard.yoked"
"Camta1",-0.999241661452295,0.0710343412341403,"DG","home.cage-standard.yoked"
"Cant1",2.29339699450761,0.00467298688677052,"DG","home.cage-standard.yoked"
"Canx",2.09316127866,0.000856384193215363,"DG","home.cage-standard.yoked"
"Car10",2.75751765669265,0.0117896001098227,"DG","home.cage-standard.yoked"
"Cat",2.15346663249251,0.00217284804797448,"DG","home.cage-standard.yoked"
"Cbfa2t3",2.03721450412932,0.00148561580744506,"DG","home.cage-standard.yoked"
"Cbfb",1.94780865926999,0.00657168420034114,"DG","home.cage-standard.yoked"
"Cbx3",1.89107885817809,0.0243895235534115,"DG","home.cage-standard.yoked"
"Cbx4",0.96185812258142,0.0897082140575078,"DG","home.cage-standard.yoked"
"Ccar2",1.63471168271293,0.0223954646339079,"DG","home.cage-standard.yoked"
