"","gene","padj","tissue","comparison"
"297","Gm13889",0.0613934934301837,"CA1","consistent-yoked_consistent"
"298","Gm14305",0.0353960744308593,"CA1","consistent-yoked_consistent"
"299","Gm14326",0.0404114909261722,"CA1","consistent-yoked_consistent"
"300","Gm16485",0.0353960744308593,"CA1","consistent-yoked_consistent"
"301","Gm20390",0.0985336121778088,"CA1","consistent-yoked_consistent"
"302","Gm21685",0.0487676869081087,"CA1","consistent-yoked_consistent"
"303","Gm21887",0.0439558463232693,"CA1","consistent-yoked_consistent"
"304","Gm43951",0.0198423164369525,"CA1","consistent-yoked_consistent"
"305","Gm4631",0.0307582939273495,"CA1","consistent-yoked_consistent"
"306","Gm5148",0.0972955641798142,"CA1","consistent-yoked_consistent"
"307","Gm527",0.0823056507737565,"CA1","consistent-yoked_consistent"
"308","Gm9821",0.0353960744308593,"CA1","consistent-yoked_consistent"
"309","Gmpr",0.0958445565441069,"CA1","consistent-yoked_consistent"
"310","Gnpat",0.0776160976323053,"CA1","consistent-yoked_consistent"
"311","Golga1",0.0709488559483829,"CA1","consistent-yoked_consistent"
"312","Golm1",0.0825810152076224,"CA1","consistent-yoked_consistent"
"313","Gpd1",0.00016791386571541,"CA1","consistent-yoked_consistent"
"314","Gpr161",0.0786773955141339,"CA1","consistent-yoked_consistent"
"315","Gpr180",0.0514338384452124,"CA1","consistent-yoked_consistent"
"316","Greb1l",0.0404114909261722,"CA1","consistent-yoked_consistent"
"317","Grem2",0.0893080338245149,"CA1","consistent-yoked_consistent"
"318","Grik3",0.0450666024317916,"CA1","consistent-yoked_consistent"
"319","Grin2b",0.0368273254672628,"CA1","consistent-yoked_consistent"
"320","Grip1",0.0815743313218967,"CA1","consistent-yoked_consistent"
"321","Gripap1",0.0548031457309276,"CA1","consistent-yoked_consistent"
"322","Grm1",0.0520121704925716,"CA1","consistent-yoked_consistent"
"323","Gsta4",0.014925826534419,"CA1","consistent-yoked_consistent"
"324","Gstm4",0.0459456724411416,"CA1","consistent-yoked_consistent"
"325","Gstm5",0.0514338384452124,"CA1","consistent-yoked_consistent"
"326","Gstt3",0.0925520117360525,"CA1","consistent-yoked_consistent"
"327","Gstz1",0.0909740704119868,"CA1","consistent-yoked_consistent"
"328","Gtf2h2",0.0673914135602202,"CA1","consistent-yoked_consistent"
"329","Gucy1a2",0.0758880865423759,"CA1","consistent-yoked_consistent"
"330","Gucy2e",0.0899172061140718,"CA1","consistent-yoked_consistent"
"331","Guk1",0.0872979393048818,"CA1","consistent-yoked_consistent"
"332","Gxylt1",0.0983219285675482,"CA1","consistent-yoked_consistent"
"333","H2afv",0.0356779182900007,"CA1","consistent-yoked_consistent"
"334","Hadh",0.0958445565441069,"CA1","consistent-yoked_consistent"
"335","Hadhb",0.0218700468814591,"CA1","consistent-yoked_consistent"
"336","Haus6",0.0948313715185043,"CA1","consistent-yoked_consistent"
"337","Hcfc1",0.0823056507737565,"CA1","consistent-yoked_consistent"
"338","Hcn1",0.0499912898651349,"CA1","consistent-yoked_consistent"
"339","Hdac10",0.0536646039275641,"CA1","consistent-yoked_consistent"
"340","Hdac6",0.0827839865016426,"CA1","consistent-yoked_consistent"
"341","Hecw2",0.0608631852762809,"CA1","consistent-yoked_consistent"
"342","Helz",0.0556497475046463,"CA1","consistent-yoked_consistent"
"343","Herc3",0.088995463045962,"CA1","consistent-yoked_consistent"
"344","Herpud2",0.0772216565950869,"CA1","consistent-yoked_consistent"
"345","Hexb",0.070044490450343,"CA1","consistent-yoked_consistent"
"346","Hif1an",0.04493581943318,"CA1","consistent-yoked_consistent"
"347","Hlf",0.0536646039275641,"CA1","consistent-yoked_consistent"
"348","Hmbs",0.0812810351152371,"CA1","consistent-yoked_consistent"
"349","Hmgn3",0.0688181753314265,"CA1","consistent-yoked_consistent"
"350","Hmox2",0.0935067755350027,"CA1","consistent-yoked_consistent"
"351","Hnrnpr",0.030274379921191,"CA1","consistent-yoked_consistent"
"352","Hprt",0.0404114909261722,"CA1","consistent-yoked_consistent"
"353","Hr",0.0548031457309276,"CA1","consistent-yoked_consistent"
"354","Hsd17b11",0.030274379921191,"CA1","consistent-yoked_consistent"
"355","Hspa1a",0.0169956030470985,"CA1","consistent-yoked_consistent"
"356","Hspa1b",0.0356779182900007,"CA1","consistent-yoked_consistent"
"357","Hspa2",0.0969277161173174,"CA1","consistent-yoked_consistent"
"358","Hspb1",0.0673914135602202,"CA1","consistent-yoked_consistent"
"359","Hspbp1",0.0825810152076224,"CA1","consistent-yoked_consistent"
"360","Htt",0.066755148893215,"CA1","consistent-yoked_consistent"
"361","Hypk",0.0487676869081087,"CA1","consistent-yoked_consistent"
"362","Ice2",0.0394790576820155,"CA1","consistent-yoked_consistent"
"363","Id2",0.0773066859115259,"CA1","consistent-yoked_consistent"
"364","Ifitm10",0.0710336727382427,"CA1","consistent-yoked_consistent"
"365","Ift140",0.0368273254672628,"CA1","consistent-yoked_consistent"
"366","Ift81",0.0491343990630305,"CA1","consistent-yoked_consistent"
"367","Igbp1",0.066775644011548,"CA1","consistent-yoked_consistent"
"368","Igf2bp2",0.0643090404362944,"CA1","consistent-yoked_consistent"
"369","Igsf11",0.052725573744518,"CA1","consistent-yoked_consistent"
"370","Il1rapl1",0.0368273254672628,"CA1","consistent-yoked_consistent"
"371","Impa1",0.0608631852762809,"CA1","consistent-yoked_consistent"
"372","Ina",0.0506195978902684,"CA1","consistent-yoked_consistent"
"373","Inhbb",0.00354033158584362,"CA1","consistent-yoked_consistent"
"374","Ino80",0.0748414610106904,"CA1","consistent-yoked_consistent"
"375","Inpp4b",0.0983219285675482,"CA1","consistent-yoked_consistent"
"376","Intu",0.0898322249610531,"CA1","consistent-yoked_consistent"
"377","Iqcc",0.0862947179145406,"CA1","consistent-yoked_consistent"
"378","Iqsec3",0.0923100350473072,"CA1","consistent-yoked_consistent"
"379","Irf9",0.0517549695712416,"CA1","consistent-yoked_consistent"
"380","Irs1",0.0899172061140718,"CA1","consistent-yoked_consistent"
"381","Itga3",0.0613216057423428,"CA1","consistent-yoked_consistent"
"382","Itgb1",0.0406498630265697,"CA1","consistent-yoked_consistent"
"383","Jade3",0.0658135996196911,"CA1","consistent-yoked_consistent"
"384","Jag2",0.0815996843195868,"CA1","consistent-yoked_consistent"
"385","Jak2",0.0778003736291283,"CA1","consistent-yoked_consistent"
"386","Josd1",0.077753551921182,"CA1","consistent-yoked_consistent"
"387","Kank1",0.0958445565441069,"CA1","consistent-yoked_consistent"
