"","gene","CA1.ConfT.ConfY","CA1.ConfY.StdY","CA1.StdT.StdY","CA3.ConfY.StdY","CA3.StdT.StdY","DG.ConfT.ConfY","DG.ConfY.StdY","DG.StdT.StdY"
"187","Entpd7",0,0,1,0,0,0,0,0
"188","Eny2",0,1,0,0,0,0,0,0
"189","Epha6",0,0,1,0,0,0,0,0
"190","Epyc",0,1,0,0,0,0,0,0
"191","Erbb4",0,1,1,0,0,0,0,0
"192","Erbin",0,0,1,0,0,0,0,0
"193","Ercc6",0,1,1,0,0,0,0,0
"194","Erich3",0,0,1,0,0,0,0,0
"195","Exoc1",0,1,1,0,0,0,0,0
"196","Exosc1",0,1,1,0,0,0,0,0
"197","F3",0,1,0,0,0,0,0,0
"198","Fam102b",0,1,0,0,0,0,0,0
"199","Fam114a2",0,1,0,0,0,0,0,0
"200","Fam131a",0,0,1,0,0,0,0,0
"201","Fam168a",0,0,1,0,0,0,0,0
"202","Fam171a2",0,0,1,0,0,0,0,0
"203","Fam19a2",0,0,1,0,0,0,0,0
"204","Fam60a",0,1,0,0,0,0,0,0
"205","Fan1",0,0,1,0,0,0,0,0
"206","Fanci",0,0,1,0,0,0,0,0
"207","Fbxl4",0,1,0,0,0,0,0,0
"208","Fbxo30",0,1,0,0,0,0,0,0
"209","Fbxo32",0,0,1,0,0,0,0,0
"210","Fbxo44",0,1,0,0,0,0,0,0
"211","Fbxo6",0,1,0,0,0,0,0,0
"212","Fcgr3",0,1,0,0,0,0,0,0
"213","Fgfr2",0,1,0,0,0,0,0,0
"214","Fmn1",0,0,1,0,0,0,0,0
"215","Fndc10",0,1,1,0,0,0,0,0
"216","Fndc3a",0,0,1,0,0,0,0,0
"217","Foxj3",0,0,1,0,0,0,0,0
"218","Gabpb1",0,1,1,0,0,0,0,0
"219","Gad2",0,1,1,0,0,0,0,0
"220","Galnt10",0,1,0,0,0,0,0,0
"221","Galnt13",0,1,0,0,0,0,0,0
"222","Gemin4",0,1,0,0,0,0,0,0
"223","Gfpt2",0,1,0,0,0,0,0,0
