"","143A-CA3-1","144A-CA3-2","144B-CA3-1","144C-CA3-2","144D-CA3-2","146A-CA3-2","146B-CA3-2","146D-CA3-3","147C-CA3-3","147D-CA3-1","148A-CA3-3","148B-CA3-4"
"Eml1",7.03697636711131,7.31394623064817,7.48811988187854,7.81214429033134,7.24504900324924,7.52414618120404,7.31436980424006,7.1578950467374,7.43767141176241,7.13468281582627,7.28430904911189,6.96471342610643
"Eml2",8.5616701981258,8.8322615686431,8.41834951956419,8.98003593796123,8.93716875815156,9.04121854119326,8.94679786299726,9.1296062587308,8.99841993385371,9.02954829174119,9.08893096931135,8.9777604394548
"Eml3",6.78163334169277,6.74678563092428,6.24393779302673,6.38940370799125,6.72936991775695,6.41527199135856,6.5184786626499,7.08857831716942,6.79652217469604,6.73305426023924,6.65064749842563,6.63951976351339
"Eml4",7.53625428659523,7.1982454847502,7.89021809152183,6.97835558549462,7.47160722209277,7.45760384805076,7.344195824696,7.51482730598303,7.42696050875173,7.70127974398906,7.62112730198029,7.78054910758782
"Eml5",8.23422433778671,7.72800932297442,8.33193947369886,7.70964895915098,7.93261209843318,7.56656446981252,8.22205456381559,8.42770527031386,7.93683403298206,8.2474101016778,7.75441829774496,8.25469595222388
"Eml6",7.52507646415799,7.80387278089285,7.13613490781449,7.33888983684944,7.20251239796265,7.0405793290156,7.38280704648231,7.58073984433096,7.48983120224192,7.70127974398906,7.37397640121275,7.41904330009318
"Emp1",6.41665750827505,5.74601471773009,5.74601471773009,6.27277285307284,6.01845616303518,5.74601471773009,6.02197511661528,5.98096736585904,6.67768317971619,5.74601471773009,5.74601471773009,6.12628777439285
"Emp2",6.50225765919205,6.64459133834263,6.72775853067017,6.6113734637811,6.63672970998755,6.58082058063128,6.41694544367551,6.68480099902571,6.88965137955747,6.75905464489578,5.92286684183806,6.12628777439285
"Emp3",5.74601471773009,5.74601471773009,5.74601471773009,6.2028281207757,5.93880281262351,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,6.05194985962486,6.05680468388423
"Emsy",8.0501623603755,7.94339495363267,8.29170814880729,7.81214429033134,7.59401655093577,7.39518034941198,8.10393089565144,8.04873656876414,7.85808135690977,7.68319355340291,7.88550203049643,7.88922213616184
"Emx1",6.83637202671743,6.92126115367035,6.838638267486,6.68430092586366,7.00035588253943,6.84622384839729,6.98876144796015,6.81221950706321,6.91875056901334,6.86369394602331,7.32593317849344,6.70081292205365
"Emx2",6.59273877475058,6.5272639655662,6.96842550338733,6.97835558549462,6.74672977412546,6.81890456226423,6.64790973458671,6.81221950706321,6.84735360224334,7.13468281582627,6.40247134964888,6.66459338240955
"En2",5.74601471773009,6.2007163041327,5.74601471773009,5.74601471773009,6.01845616303518,6.34036937992903,5.74601471773009,6.18436861938232,5.74601471773009,5.74601471773009,5.74601471773009,5.96598844840126
"Enah",9.21226400262559,8.8322615686431,9.03849295132269,8.89382942162123,8.82719121024384,9.18893915651124,9.06950711260947,9.1296062587308,9.14676461041993,9.13983202726361,8.67508534701916,8.91864499911492
"Enc1",11.9117248296794,10.7824708527011,11.7154334796519,11.1023964364624,11.2653305119911,10.7711703179382,11.370202234463,11.1945653615273,10.8074875253984,11.5329587691335,11.2128373410448,11.4055698897019
"Endod1",8.05388025864676,8.76149036939701,8.03379033593599,8.63189123971264,8.42915571381045,8.36061067889995,8.51316749386798,8.71435808499971,8.64457704418859,8.49786776897532,8.2188189421737,8.45283609948238
"Endog",6.60680223492987,5.74601471773009,6.38674697910088,7.07472629157393,6.96020151186135,6.52325198610858,6.80986130569711,6.75084766364504,7.05261774136542,6.46329716245762,7.09026414771581,6.58684376140247
"Endou",5.74601471773009,6.38645313262447,5.74601471773009,6.11951744560923,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,6.01951320260687,5.99596529059142,5.74601471773009
"Endov",7.01952605903694,7.06893395789686,7.2582278380135,7.2247271475341,7.27592386450515,7.4110971889818,7.47413702120488,7.48994619763309,7.37565201157968,7.56481250681478,7.2233436799784,7.21513471150205
"Eng",6.91773580214593,6.83815198390189,6.60019828616156,7.24457248269195,7.15827130702151,7.33770445051879,6.7764033481286,7.23875314214451,7.64912610094087,6.83275889505162,6.83890623493614,6.43572001351797
"Engase",6.4693318579833,6.74678563092428,6.32003085757434,6.7184581734777,6.48512598017227,6.77631924135545,6.98876144796015,6.81221950706321,6.87175614222045,6.54595916539766,6.44695176553183,6.68891546698678
"Enho",6.86771176159918,7.51554170438576,7.02740652411637,7.9297601150476,7.61709827129092,7.89489105512538,7.28374816174714,6.8917311254646,7.48983120224192,7.51992015268681,7.05945982518306,7.22900739096301
"Enkd1",6.24786116878775,6.5272639655662,6.68741325644872,6.01048873685946,6.90398950220338,6.59905970549397,6.35939184734644,6.11689602129963,6.30335268324699,6.32320465498686,6.77123273357694,6.28226779076496
"Enkur",5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,5.74601471773009,6.24406443825704,5.74601471773009
"Eno1",11.5975807798011,11.4285766649275,11.5450497845731,11.7081257208904,11.3291806949967,11.3823578812507,11.2770465721234,10.9976325892948,11.0341743738078,11.4023809555919,11.8101145724662,11.5070011091555
"Eno1b",6.39808189336062,6.2007163041327,6.15323483203576,5.74601471773009,5.74601471773009,6.00091276814161,6.08373963483239,5.74601471773009,5.74601471773009,5.93955192050117,5.74601471773009,6.05680468388423
"Eno2",11.1969663576857,10.8638612054623,10.8592881669842,11.050407095513,10.8620659915423,10.8495021054372,10.7447121543697,10.8204663012368,10.4296648493104,10.7257351807445,11.2182289004688,11.0788858210579
"Eno3",6.29521371320005,5.74601471773009,6.32003085757434,6.33414409144239,6.25383794328405,6.36640614262992,6.32834670430084,6.24252161456539,6.24805848173411,6.19838463573641,6.48858062290051,6.18469651090124
"Eno4",6.24786116878775,5.74601471773009,5.74601471773009,6.27277285307284,6.4085129687457,5.74601471773009,5.74601471773009,6.48182062244405,5.99047976259634,6.13222517996476,6.212183820912,6.21108529546451
