"","row","column","cor","p","padj"
"279","NSF","LAMC1",-0.277087548179577,0.317401544120665,0.599552372865729
"280","GFAP","FGFR3",0.276789181942401,0.317944440156068,0.599552372865729
"281","PRKCB","TNXB",0.275664622596458,0.319995447584303,0.600872582154898
"282","PC2","LAMB1",-0.275158730298559,0.320920583650912,0.600872582154898
"283","PRKCZ","PIN1",0.273585863690176,0.323806713207667,0.603283028908629
"284","EGFR","ROCK2",0.273212959954682,0.324493144337217,0.603283028908629
"285","GRIA2","LAMA1",-0.272083993141672,0.326576386135096,0.605025725892388
"286","LAMA1","LAMC1",-0.268871595627254,0.332545742531657,0.613930601596905
"287","LAMC1","AQP4",-0.265258611191236,0.339332887743597,0.624277925883692
"288","PC1","PNN",0.262584673894616,0.344405853309672,0.631410731067732
"289","PRKCI","ALDH1A1",0.260408999315725,0.34856470645855,0.633309231932118
"290","ALDH1L1","FGFR3",0.260141452835491,0.349078055709438,0.633309231932118
"291","GRIA2","ALDH1L2",-0.259376198107353,0.350548699998122,0.633309231932118
"292","IGF2","FGFR3",0.259239489618059,0.35081178535692,0.633309231932118
"293","EGFR","AQP4",-0.258913980717208,0.35143864575021,0.633309231932118
"294","ALDH1L1","SLC1A2",0.258042662286974,0.353119684378522,0.634174127047141
"295","LIMK1","ROCK2",-0.257042721283844,0.355054371019547,0.635487145418037
"296","LAMB1","PNN",-0.256172734459517,0.356742394338874,0.636351298009883
"297","PC1","LAMC1",-0.254587733717658,0.359829144843703,0.636427730998191
"298","IGF2","CAMK2A",-0.254510632401623,0.359979672627889,0.636427730998191
"299","PRKCI","LAMA1",0.254294761754599,0.360401309788748,0.636427730998191
"300","IGF2","GABRA1",0.253512366300962,0.361931760792644,0.636999898995054
"301","GFAP","GJB6",0.252685886565083,0.363552325677003,0.637726338729096
"302","CAMK2A","ALDH1A1",0.250758287884526,0.367347432817595,0.638504624432893
"303","PTPRS","GFAP",0.250702069262007,0.367458441917944,0.638504624432893
"304","IGF2","SLC1A2",0.250048868913191,0.368749595079944,0.638504624432893
"305","PC2","GRIA2",0.250006634287618,0.36883316373491,0.638504624432893
"306","LAMB1","GJB6",0.248371837958053,0.372075846805056,0.642013225859705
"307","WWC1","ROCK2",-0.247111230934908,0.374586878069814,0.644240624172188
"308","IGF2","TNXB",0.24571090240521,0.377386986244777,0.64694911927676
"309","LAMC1","PNN",0.24207177128959,0.384716602036424,0.651847819493689
"310","WWC1","PRKCB",-0.241845177492409,0.385175500400176,0.651847819493689
"311","PIN1","AQP4",-0.241031437129944,0.386825911621284,0.651847819493689
"312","FGFR3","AQP4",0.240942672772279,0.387006170681148,0.651847819493689
"313","NSF","ALDH1A1",-0.240670351321172,0.387559470981745,0.651847819493689
"314","LAMA1","ROCK2",-0.24062486894439,0.387651922956474,0.651847819493689
"315","TNC","EGFR",0.238860776992345,0.391246896883781,0.654347971640584
"316","PNN","LIMK1",-0.238679486410452,0.391617346663683,0.654347971640584
"317","PRKCI","IGF2",0.237407857246433,0.394221051019938,0.656274359028126
"318","LAMB1","TNC",0.236662201536794,0.395752077405907,0.656274359028126
"319","CAMK2A","ROCK2",-0.23612187212498,0.396863484700831,0.656274359028126
"320","TNR","GJB6",-0.234941591981598,0.399296957972167,0.656274359028126
"321","PC2","PIN1",-0.234353265785214,0.400512894798321,0.656274359028126
"322","LAMC1","ALDOC",0.233763167786956,0.401734455235954,0.656274359028126
"323","PRKCZ","AQP4",-0.23301764897402,0.403280557213939,0.656274359028126
"324","PNN","ALDH1L1",0.232750817272083,0.403834689125256,0.656274359028126
"325","GRIA2","SLC1A2",0.232692064630366,0.4039567550836,0.656274359028126
"326","TNXB","ROCK2",0.230617787142724,0.408278747370411,0.661261284084591
"327","LAMA1","GABRA1",0.227998918058029,0.413769847122047,0.66810544122459
"328","PIN1","ROCK2",-0.226653586364976,0.416605520942187,0.670633277614253
"329","PTPRS","SLC1A2",0.225293604664978,0.419482282550095,0.673211687496808
"330","IGF2","LAMC1",0.224495685699118,0.421174880931796,0.673416631160424
"331","PRKCB","SLC1A2",0.224031667213693,0.422160804761553,0.673416631160424
"332","LAMC1","ROCK2",0.222219016432362,0.42602360664543,0.67753151900237
"333","PIN1","CAMK2A",-0.221428574477893,0.427713712489767,0.677837584642222
"334","PRKCZ","WWC1",0.220929016369338,0.428783623618376,0.677837584642222
"335","GABRA1","ALDH1A1",0.218851209272234,0.433248336647981,0.682735375756854
"336","LAMB1","TNR",-0.218285510738743,0.434467966390725,0.682735375756854
"337","PIN1","TNC",0.217250289173808,0.436704380089174,0.68421339076286
"338","EGFR","ALDOC",0.216440374657996,0.438458112279306,0.684522290458895
"339","IGF2","ALDH1A1",0.215335660483994,0.440855907353088,0.684522290458895
"340","CFL1","ALDH1L2",-0.214686057299024,0.442268956093488,0.684522290458895
"341","CAMK2A","ALDH1L2",0.214421293556207,0.442845535779531,0.684522290458895
"342","LAMB1","ALDH1L2",0.213776001200561,0.444252378779624,0.684522290458895
"343","PRKCZ","ALDH1L2",0.213579971092216,0.444680200051896,0.684522290458895
"344","ROCK2","SLC1A2",0.212545134889435,0.44694207365254,0.686004113048085
"345","PRKCZ","IGF2",0.211456033981257,0.449328752933137,0.686365528919982
"346","ROCK2","AQP4",-0.21078186507355,0.450809318151355,0.686365528919982
"347","PRKCZ","FGFR3",0.210659937811302,0.45107734571067,0.686365528919982
"348","PRKCB","TNC",-0.20425224954415,0.46527397116277,0.70532530763078
"349","PC1","ALDOC",0.203833464083849,0.46620934159686,0.70532530763078
"350","LAMC1","PTPRS",-0.202536323509777,0.469112358353117,0.707689500601274
"351","PC2","PRKCB",0.20143206253675,0.471590613653206,0.7094012649826
"352","NSF","ALDH1L1",0.198002866048932,0.479326885214486,0.718990327821729
"353","PRKCZ","TNC",0.194962450707394,0.486236581159718,0.727288710629832
"354","CAMK2A","EGFR",0.193479205247061,0.489624512232202,0.730287408075149
"355","PC1","PRKCI",0.192800554016035,0.491178356707048,0.730541330538934
"356","ALDH1L1","ALDOC",0.191799557808998,0.493474485741796,0.731887591684721
"357","PRKCZ","SLC1A2",0.191047991892891,0.495201774165998,0.731887591684721
"358","WWC1","IGF2",0.189859847523874,0.497938208438478,0.731887591684721
"359","PIN1","TNR",0.189708652549463,0.498286934484106,0.731887591684721
"360","ALDH1L1","GJB6",-0.189393466604007,0.499014267057765,0.731887591684721
"361","PRKCB","PNN",0.186653286838227,0.505358409639633,0.738398744908411
"362","GRIA2","PTPRS",-0.186181256194706,0.506455023564554,0.738398744908411
"363","PIN1","SLC1A2",0.185667794442889,0.507649137124532,0.738398744908411
"364","PIN1","LAMC1",0.184880334033999,0.509482985894007,0.739030265252845
"365","GRIA2","GJB6",-0.183164609312267,0.513489116311839,0.742313680300621
"366","PRKCZ","PRKCB",-0.182355598841052,0.515383100705884,0.742313680300621
"367","PC1","LAMB1",0.182107637462202,0.515964243693803,0.742313680300621
"368","LAMB1","FGFR3",-0.17754714999099,0.52670554550561,0.755707956595006
"369","PC2","LAMC1",0.17650692673818,0.529169544548602,0.757185689760602
"370","PRKCZ","PRKCI",-0.175365906360927,0.531878216449239,0.757351410488124
"371","PC2","ALDOC",-0.175249829994871,0.532154116081617,0.757351410488124
"372","PC2","GABRA1",-0.173792986382367,0.535622265948386,0.757361826032967
"373","PTPRS","ALDH1A1",-0.173532410626246,0.536243643735369,0.757361826032967
"374","ALDH1A1","AQP4",0.173439773255308,0.536464626773351,0.757361826032967
"375","PTPRS","ROCK2",0.172606338968457,0.538454562662304,0.758144024228523
"376","PNN","ALDH1A1",0.171084299711448,0.54209700962163,0.760547804884057
"377","WWC1","PIN1",0.170689885159493,0.543042656138806,0.760547804884057
"378","PIN1","PTPRS",-0.168043317435897,0.549406660536429,0.766543989578438
"379","EGFR","GFAP",-0.166812499668019,0.552377281135097,0.766543989578438
"380","LAMA1","GJB6",0.166735369435408,0.552563668020921,0.766543989578438
"381","GABRA1","ALDOC",-0.166500594232798,0.553131174298077,0.766543989578438
"382","LIMK1","CFL1",0.161833069580987,0.564465427228709,0.780203522452247
"383","PRKCB","NSF",0.159818496890595,0.569387589052579,0.784952080991545
"384","PRKCI","LAMC1",0.157503981849,0.575064705946641,0.790713970676632
"385","IGF2","LAMB1",-0.156801160173009,0.576793251860005,0.790983612541633
"386","PC2","GFAP",-0.156206703469629,0.578256959168694,0.790983612541633
"387","PC2","CAMK2A",0.155009850451796,0.581208569722115,0.792966730783661
"388","PRKCB","LAMA1",-0.153532492105745,0.584860462461514,0.795892588091958
"389","CFL1","AQP4",-0.150043222873822,0.593522578995712,0.805603911850221
"390","LAMA1","AQP4",0.146910638001413,0.601342856650069,0.810633257736826
"391","PC1","FGFR3",0.146276289636665,0.602931424264492,0.810633257736826
"392","PRKCZ","GFAP",0.146150361057112,0.603246978447384,0.810633257736826
"393","PC1","TNXB",0.146101643821847,0.603369072520024,0.810633257736826
"394","LAMA1","PNN",0.14327960871537,0.61045818184819,0.81754525500338
"395","ALDH1L1","ALDH1L2",0.142822084944024,0.611610560087756,0.81754525500338
"396","LAMB1","TNXB",-0.140602782856833,0.617212342558894,0.817728664235048
"397","PRKCZ","GJB6",-0.139574623017982,0.619814216143963,0.817728664235048
"398","CFL1","GJB6",-0.139521916828826,0.619947708231927,0.817728664235048
"399","PC2","ALDH1A1",-0.139353692800062,0.620373852850836,0.817728664235048
"400","TNXB","GFAP",-0.139107720294212,0.620997151405853,0.817728664235048
"401","LAMA1","LIMK1",0.138938152421603,0.621426978660502,0.817728664235048
"402","WWC1","LAMA1",0.136988608564607,0.626376890717797,0.817728664235048
"403","PC1","PTPRS",-0.136842203065545,0.626749217111607,0.817728664235048
"404","LAMA1","GFAP",0.136767682241213,0.626938764449158,0.817728664235048
"405","CAMK2A","LAMB1",0.136517346179444,0.627575664901655,0.817728664235048
"406","LAMB1","CFL1",-0.135917798583466,0.629102014336406,0.817728664235048
"407","IGF2","CFL1",-0.135434859511558,0.630332512014516,0.817728664235048
"408","TNC","ALDH1L1",0.134069953340215,0.633815074369257,0.820231272713156
"409","PRKCI","CAMK2A",0.13251016916117,0.637803613989902,0.820410875335383
"410","PRKCZ","GRIA2",0.132248200482556,0.638474405533961,0.820410875335383
"411","PTPRS","PNN",0.131464865476557,0.640481747612135,0.820410875335383
"412","ROCK2","ALDH1L1",0.130990290307435,0.641699001388467,0.820410875335383
"413","TNC","TNR",-0.130937043428307,0.641835629003289,0.820410875335383
"414","ALDH1L2","GJB6",0.130128998352815,0.643910320237428,0.820410875335383
"415","LAMA1","CFL1",0.129770906910141,0.644830517545803,0.820410875335383
"416","CAMK2A","GJB6",0.127732555398648,0.650077606570064,0.824162484850684
"417","PTPRS","FGFR3",0.127413209250103,0.650901053376393,0.824162484850684
"418","PC1","ALDH1L1",0.125556526226838,0.655695981962183,0.82733667929925
"419","NSF","GRIA2",0.125229514913548,0.656541796640882,0.82733667929925
"420","CAMK2A","ALDH1L1",-0.122998698361909,0.662322087692438,0.832633481670493
"421","PC1","SLC1A2",0.121243871256627,0.666881518762621,0.834230711584411
"422","PC2","ALDH1L1",0.119861789418976,0.670480114269227,0.834230711584411
"423","CFL1","ALDOC",0.119152808024764,0.672328712966329,0.834230711584411
"424","LAMC1","GJB6",-0.119138680276315,0.672365567415785,0.834230711584411
"425","PC1","EGFR",0.119136075205085,0.672372363228593,0.834230711584411
"426","PRKCI","GFAP",0.118657713277537,0.67362065776323,0.834230711584411
"427","NSF","LAMA1",0.118262531642859,0.674652488345726,0.834230711584411
"428","IGF2","ALDOC",0.117191495687965,0.677451694983319,0.835734801287833
