"","gene","CA1.ConfT.ConfY","CA1.ConfY.StdY","CA1.HC.ConfT","CA1.HC.ConfY","CA1.HC.StdT","CA1.HC.StdY","CA1.StdT.StdY","CA3.ConfY.StdY","CA3.HC.ConfT","CA3.HC.ConfY","CA3.HC.StdT","CA3.HC.StdY","CA3.StdT.StdY","DG.ConfT.ConfY","DG.ConfY.StdY","DG.HC.ConfT","DG.HC.ConfY","DG.HC.StdT","DG.HC.StdY","DG.StdT.StdY"
"168","Ahcyl1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"169","Ahdc1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","Ahi1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"171","Ahnak",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"172","Ahr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"173","Ahsa2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"174","AI846148",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175","Aimp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"176","AK010878",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177","Ak1",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","Ak3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"179","Ak4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"180","Akap1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"181","Akap10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"182","Akap12",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"183","Akap5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"184","Akap9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"185","Akip1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"186","Akirin1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"187","Akna",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"188","Akr1b3",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"189","Akr1c18",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190","Akt1",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"191","Akt2",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","Alcam",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193","Aldh18a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"194","Aldh1a1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"195","Aldh3b2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"196","Aldh6a1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197","Aldh7a1",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"198","Aldoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"199","Aldoc",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
"200","Alg1",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201","Alg10b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"202","Alg2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203","Alg6",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204","Alg8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"205","Alg9",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"206","Alk",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207","Alkbh1",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"208","Alkbh3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209","Alkbh5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"210","Alkbh8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"211","Alms1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"212","Als2cl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"213","Amer3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"214","Amigo2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"215","Ammecr1l",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216","Amn1",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217","Amotl1",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"218","Amotl2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"219","Amph",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220","Amy1",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221","Anapc16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"222","Anapc4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"223","Anapc5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"224","Angel1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"225","Angptl6",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"226","Ank1",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"227","Ankrd12",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"228","Ankrd13a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"229","Ankrd17",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"230","Ankrd26",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"231","Ankrd28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"232","Ankrd29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"233","Ankrd34a",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"234","Ankrd34b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"235","Ankrd40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"236","Ankrd44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"237","Ankrd49",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238","Ankrd9",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"239","Anks1b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"240","Ankzf1",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241","Anln",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"242","Ano10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"243","Ano6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"244","Ano8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"245","Anxa5",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
"246","Ap1s1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"247","Ap1s3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"248","Ap2a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"249","Ap3b2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"250","Ap3d1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"251","Ap3m1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"252","Ap3m2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"253","Ap4e1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"254","Ap4m1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"255","Apba3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"256","Apc",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"257","Apcdd1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
