tissue,gene,lfc,padj,logpadj,comparison,direction
CA1,Rnf166,-1.54,8.00e-02,1.1,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Cpne7,-1.04,9.74e-02,1.01,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Afg3l1,-1.44,7.98e-02,1.1,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Pgbd5,-0.66,6.72e-02,1.17,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Gnpat,-1.14,6.32e-02,1.2,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Itgb1,2.21,6.19e-02,1.21,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Gm16485,5.47,4.16e-02,1.38,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Sesn3,1.3,3.08e-02,1.51,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Amotl1,3.81,9.82e-02,1.01,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Carm1,1.18,3.39e-02,1.47,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Swsap1,-1.78,8.61e-02,1.06,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Zfp653,-1.33,8.90e-02,1.05,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Bbs9,-2.49,4.21e-02,1.38,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Ets1,5.08,6.19e-02,1.21,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cdon,-2.21,4.31e-02,1.37,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Vwa5a,4.82,7.88e-02,1.1,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Usp2,-1.05,7.13e-02,1.15,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Nlrx1,5.7,2.34e-02,1.63,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Hmbs,-2.07,7.13e-02,1.15,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Scn4b,2.64,7.67e-04,3.12,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Rpl10-ps3,3.7,2.03e-02,1.69,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,AU019823,3.08,6.26e-02,1.2,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Alg9,2.24,4.89e-02,1.31,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Elmod1,0.57,8.62e-02,1.06,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Tnfaip8l3,3.2,9.48e-02,1.02,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cib2,4.75,7.13e-02,1.15,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Wdr61,5.82,9.78e-03,2.01,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Tmem266,4.73,8.53e-02,1.07,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Commd4,-1.12,8.40e-02,1.08,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Fam219b,1.88,9.95e-02,1,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Edc3,-1.36,9.48e-02,1.02,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Arid3b,-2.9,7.89e-02,1.1,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Adpgk,-1.72,6.93e-02,1.16,standard.yoked vs. conflict.yoked,standard.yoked
